Peak,RetTime,Type,Height,Area,Width,Width2,AreaPerc
1,0.603974580764771,BB  ,13.5229587554932,2.2784378528595,0.0817438662052155,0.466333329677582,0.851333320140839
2,1.50493288040161,BB  ,288.730865478516,43.3018379211426,0.10579176992178,1.36466670036316,1.89630460739136
3,4.99022960662842,BB  ,282.208190917969,15.7524833679199,0.212510153651238,4.64133310317993,5.4980001449585
